Place,County
Murray Hill,"Westchester, NY"
Nepera Park,"Westchester, NY"
Nepperhan,"Westchester, NY"
New Castle,"Westchester, NY"
New Rochelle,"Westchester, NY"
North,"Westchester, NY"
North Castle,"Westchester, NY"
North Larchmont,"Westchester, NY"
North Pelham,"Westchester, NY"
North Salem,"Westchester, NY"
North Tarrytown,"Westchester, NY"
North White Plains,"Westchester, NY"
North Yonkers,"Westchester, NY"
Oceola Lake,"Westchester, NY"
Orienta,"Westchester, NY"
Oscawana,"Westchester, NY"
Ossining,"Westchester, NY"
Ossining,"Westchester, NY"
Park Hill,"Westchester, NY"
Parkside,"Westchester, NY"
Peach Lake,"Westchester, NY"
Peekskill,"Westchester, NY"
Pelham,"Westchester, NY"
Pelham,"Westchester, NY"
Pelham Manor,"Westchester, NY"
Philipse Manor,"Westchester, NY"
Pinebrook,"Westchester, NY"
Pinebrook Heights,"Westchester, NY"
Pine Ridge Estates,"Westchester, NY"
Pleasantside,"Westchester, NY"
Pleasantville,"Westchester, NY"
Pocantico Hills,"Westchester, NY"
Port Chester,"Westchester, NY"
Pound Ridge,"Westchester, NY"
Pound Ridge,"Westchester, NY"
Purchase,"Westchester, NY"
Purdys,"Westchester, NY"
Purdys Grove,"Westchester, NY"
Purdy Station,"Westchester, NY"
Quaker Ridge,"Westchester, NY"
Quarry Heights,"Westchester, NY"
Residence Park,"Westchester, NY"
Ridgeway,"Westchester, NY"
Rochelle Heights,"Westchester, NY"
Rochelle Park,"Westchester, NY"
Roe Park,"Westchester, NY"
Rosedale,"Westchester, NY"
Rye,"Westchester, NY"
Rye Brook,"Westchester, NY"
Rye Hills-Rye Brook,"Westchester, NY"
Salem Center,"Westchester, NY"
Sandford Boulevard,"Westchester, NY"
Sarles Corners,"Westchester, NY"
Scarborough,"Westchester, NY"
Scarsdale,"Westchester, NY"
Scarsdale (New Rochelle),"Westchester, NY"
Scarsdale Downs,"Westchester, NY"
Scarsdale Park,"Westchester, NY"
Scotts Corners,"Westchester, NY"
Secor Gardens,"Westchester, NY"
Shenorock,"Westchester, NY"
Sherman Park,"Westchester, NY"
Shore Acres,"Westchester, NY"
Shrub Oak,"Westchester, NY"
Sky Meadow Farms,"Westchester, NY"
Sleepy Hollow,"Westchester, NY"
Sleepy Hollow Manor,"Westchester, NY"
Somers,"Westchester, NY"
Somers,"Westchester, NY"
Somers Town,"Westchester, NY"
South,"Westchester, NY"
South Salem,"Westchester, NY"
Sparkle Lake,"Westchester, NY"
Sparta,"Westchester, NY"
Spring Valley,"Westchester, NY"
Stanwood,"Westchester, NY"
Stillwater Hill,"Westchester, NY"
Sun Haven,"Westchester, NY"
Sunny Brae,"Westchester, NY"
Tarrytown,"Westchester, NY"
Tarrytown Heights,"Westchester, NY"
Thornwood,"Westchester, NY"
Toddville,"Westchester, NY"
Tompkins Corners,"Westchester, NY"
Truesdale Lake,"Westchester, NY"
Tuckahoe,"Westchester, NY"
Twin Lakes Village,"Westchester, NY"
Valhalla,"Westchester, NY"
Valley Pond Estates,"Westchester, NY"
Van Cortlandtville,"Westchester, NY"
Vernon Park,"Westchester, NY"
Verplanck,"Westchester, NY"
Victory Park,"Westchester, NY"
Vista,"Westchester, NY"
Waccabuc,"Westchester, NY"
Waverly,"Westchester, NY"
Westchester County Airport,"Westchester, NY"
West Harrison,"Westchester, NY"
West Mount Vernon,"Westchester, NY"
Whippoorwill,"Westchester, NY"
White Birches,"Westchester, NY"
Whitehall Corners,"Westchester, NY"
White Plains,"Westchester, NY"
Wilmot Woods,"Westchester, NY"
Wilson Park,"Westchester, NY"
Windmill Farm,"Westchester, NY"
Woodlands,"Westchester, NY"
Woodybrook,"Westchester, NY"
Worthington,"Westchester, NY"
Wykagyl,"Westchester, NY"
Wykagyl Park,"Westchester, NY"
Yonkers,"Westchester, NY"
Yorktown,"Westchester, NY"
Yorktown Heights,"Westchester, NY"
Westchester Airport,"Westchester, NY"
Kisco,"Westchester, NY"
Crompound,"Westchester, NY"
MiniVan - Yor,"Westchester, NY"
Andover,Connecticut
Ansonia,Connecticut
Ashford,Connecticut
Avon,Connecticut
Barkhamsted,Connecticut
Beacon Falls,Connecticut
Berlin,Connecticut
Bethany,Connecticut
Bethel,Connecticut
Bethlehem,Connecticut
Bloomfield,Connecticut
Bolton,Connecticut
Bozrah,Connecticut
Branford,Connecticut
Bridgeport,Connecticut
Bridgewater,Connecticut
Bristol,Connecticut
Brookfield,Connecticut
Brooklyn,Connecticut
Burlington,Connecticut
Canaan,Connecticut
Canterbury,Connecticut
Canton,Connecticut
Chaplin,Connecticut
Cheshire,Connecticut
Clinton,Connecticut
Colchester,Connecticut
Colebrook,Connecticut
Columbia,Connecticut
Cornwall,Connecticut
Coventry,Connecticut
Cromwell,Connecticut
Danbury,Connecticut
Darien,Connecticut
Deep River,Connecticut
Derby,Connecticut
Durham,Connecticut
East Granby,Connecticut
East Haddam,Connecticut
East Hampton,Connecticut
East Hartford,Connecticut
East Haven,Connecticut
East Lyme,Connecticut
East Windsor,Connecticut
Eastford,Connecticut
Easton,Connecticut
Ellington,Connecticut
Enfield,Connecticut
Essex,Connecticut
Fairfield,Connecticut
Farmington,Connecticut
Franklin,Connecticut
Glastonbury,Connecticut
Goshen,Connecticut
Granby,Connecticut
Greenwich,Connecticut
Griswold,Connecticut
Groton,Connecticut
Guilford,Connecticut
Haddam,Connecticut
Hamden,Connecticut
Hampton,Connecticut
Hartford,Connecticut
Hartland,Connecticut
Harwinton,Connecticut
Hebron,Connecticut
Kent,Connecticut
Killingly,Connecticut
Killingworth,Connecticut
Lebanon,Connecticut
Ledyard,Connecticut
Lisbon,Connecticut
Litchfield,Connecticut
Lyme,Connecticut
Madison,Connecticut
Manchester,Connecticut
Mansfield,Connecticut
Marlborough,Connecticut
Meriden,Connecticut
Middlebury,Connecticut
Middlefield,Connecticut
Middletown,Connecticut
Milford,Connecticut
Monroe,Connecticut
Montville,Connecticut
Morris,Connecticut
Naugatuck,Connecticut
New Britain,Connecticut
New Canaan,Connecticut
New Fairfield,Connecticut
New Hartford,Connecticut
New Haven,Connecticut
New London,Connecticut
New Milford,Connecticut
Newington,Connecticut
Newtown,Connecticut
Norfolk,Connecticut
North Branford,Connecticut
North Canaan,Connecticut
North Haven,Connecticut
North Stonington,Connecticut
Norwalk,Connecticut
Norwich,Connecticut
Old Lyme,Connecticut
Old Saybrook,Connecticut
Orange,Connecticut
Oxford,Connecticut
Plainfield,Connecticut
Plainville,Connecticut
Plymouth,Connecticut
Pomfret,Connecticut
Portland,Connecticut
Preston,Connecticut
Prospect,Connecticut
Putnam,Connecticut
Redding,Connecticut
Ridgefield,Connecticut
Rocky Hill,Connecticut
Roxbury,Connecticut
Salem,Connecticut
Salisbury,Connecticut
Scotland,Connecticut
Seymour,Connecticut
Sharon,Connecticut
Shelton,Connecticut
Sherman,Connecticut
Simsbury,Connecticut
Somers,Connecticut
South Windsor,Connecticut
Southbury,Connecticut
Southington,Connecticut
Sprague,Connecticut
Stafford,Connecticut
Stamford,Connecticut
Sterling,Connecticut
Stonington,Connecticut
Stratford,Connecticut
Suffield,Connecticut
Thomaston,Connecticut
Thompson,Connecticut
Tolland,Connecticut
Torrington,Connecticut
Trumbull,Connecticut
Union,Connecticut
Vernon,Connecticut
Voluntown,Connecticut
Wallingford,Connecticut
Warren,Connecticut
Washington,Connecticut
Waterbury,Connecticut
Waterford,Connecticut
Watertown,Connecticut
West Hartford,Connecticut
West Haven,Connecticut
Westbrook,Connecticut
Weston,Connecticut
Westport,Connecticut
Wethersfield,Connecticut
Willington,Connecticut
Wilton,Connecticut
Winchester,Connecticut
Windham,Connecticut
Windsor,Connecticut
Windsor Locks,Connecticut
Wolcott,Connecticut
Woodbridge,Connecticut
Woodbury,Connecticut
Woodstock,Connecticut
Cos Cob,Connecticut
Deluxe - Midd,Connecticut
MiniVan - Gre,Connecticut
Beckers Corners,"Albany County, NY"
Berne,"Albany County, NY"
Berne,"Albany County, NY"
Bethlehem,"Albany County, NY"
Bethlehem Center,"Albany County, NY"
Bethlehem Heights,"Albany County, NY"
Boght Corners,"Albany County, NY"
Burns-Whitney Estates,"Albany County, NY"
Academy,"Albany County, NY"
Albany County Airport,"Albany County, NY"
Albany Medical Center,"Albany County, NY"
Alcove,"Albany County, NY"
Altamont,"Albany County, NY"
Aquetuck,"Albany County, NY"
Callanans Corners,"Albany County, NY"
Capitol,"Albany County, NY"
Capitol Annex,"Albany County, NY"
Carmen,"Albany County, NY"
Cedar Hill,"Albany County, NY"
Clarksville,"Albany County, NY"
Coeymans,"Albany County, NY"
Coeymans,"Albany County, NY"
Coeymans Hollow,"Albany County, NY"
Cohoes,"Albany County, NY"
Cold Brook Estates,"Albany County, NY"
Colonial Acres,"Albany County, NY"
Colonie,"Albany County, NY"
Colonie,"Albany County, NY"
Colonie-Schenectady,"Albany County, NY"
Colonie-Watervliet,"Albany County, NY"
Cooksburg,"Albany County, NY"
Crescent,"Albany County, NY"
Crescent Station,"Albany County, NY"
Crystal Lake,"Albany County, NY"
Delaware,"Albany County, NY"
Delmar,"Albany County, NY"
Dormansville,"Albany County, NY"
Dunnsville,"Albany County, NY"
Dunsbach Ferry,"Albany County, NY"
East Berne,"Albany County, NY"
East Township,"Albany County, NY"
Elsmere,"Albany County, NY"
Empire State Plaza,"Albany County, NY"
Fairfield Gardens,"Albany County, NY"
Fair Grounds,"Albany County, NY"
Fairlawn Estates,"Albany County, NY"
Feura Bush,"Albany County, NY"
Glenmont,"Albany County, NY"
Green Island,"Albany County, NY"
Green Island,"Albany County, NY"
Guilderland,"Albany County, NY"
Guilderland,"Albany County, NY"
Guilderland Center,"Albany County, NY"
Guilderland Gardens,"Albany County, NY"
Hartmans Corners,"Albany County, NY"
Houcks Corners,"Albany County, NY"
Hurtsville,"Albany County, NY"
Karlsfeld,"Albany County, NY"
Karner,"Albany County, NY"
Keefers Corners,"Albany County, NY"
Kenwood,"Albany County, NY"
Knox,"Albany County, NY"
Knox,"Albany County, NY"
Lakeside Park,"Albany County, NY"
Lambs Corner,"Albany County, NY"
Latham,"Albany County, NY"
Lindbergh Court,"Albany County, NY"
Lisha Kill,"Albany County, NY"
Loudonville,"Albany County, NY"
Lynwood Estates,"Albany County, NY"
McCormack Corners,"Albany County, NY"
McKown Park,"Albany County, NY"
McKownville,"Albany County, NY"
McKownville Estates,"Albany County, NY"
Mannville,"Albany County, NY"
Maplewood,"Albany County, NY"
Maywood,"Albany County, NY"
Meadowdale,"Albany County, NY"
Medusa,"Albany County, NY"
Menands,"Albany County, NY"
Mohawk View,"Albany County, NY"
New Salem,"Albany County, NY"
New Scotland,"Albany County, NY"
Newtonville,"Albany County, NY"
Normansville,"Albany County, NY"
North Bethlehem,"Albany County, NY"
Onesquethaw,"Albany County, NY"
Parkers Corners,"Albany County, NY"
Patroon,"Albany County, NY"
Pine,"Albany County, NY"
Pinegrove Park,"Albany County, NY"
Pine Ridge,"Albany County, NY"
Potter Hollow,"Albany County, NY"
Preston Hollow,"Albany County, NY"
Preston-Potter Hollow,"Albany County, NY"
Quail,"Albany County, NY"
Ravena,"Albany County, NY"
Ravenwood,"Albany County, NY"
Reidsville,"Albany County, NY"
Rensselaerville,"Albany County, NY"
Roessleville,"Albany County, NY"
St. Bernardine of Sienna College,"Albany County, NY"
Selkirk,"Albany County, NY"
Selkirk Junction,"Albany County, NY"
Shakers,"Albany County, NY"
Siena,"Albany County, NY"
Slingerlands,"Albany County, NY"
Smiths Corner,"Albany County, NY"
South Albany,"Albany County, NY"
South Berne,"Albany County, NY"
South Bethlehem,"Albany County, NY"
South Westerlo,"Albany County, NY"
Spawn Hollow,"Albany County, NY"
Stanford Heights,"Albany County, NY"
Tarrytown,"Albany County, NY"
Thompsons Lake,"Albany County, NY"
Triangle Lake,"Albany County, NY"
Unionville,"Albany County, NY"
Verdoy,"Albany County, NY"
Voorheesville,"Albany County, NY"
Watervliet,"Albany County, NY"
Watervliet Arsenal,"Albany County, NY"
Wemple,"Albany County, NY"
West Albany,"Albany County, NY"
West Berne,"Albany County, NY"
Westerlo,"Albany County, NY"
Western Pine Knolls,"Albany County, NY"
West Lathham,"Albany County, NY"
Westlawn,"Albany County, NY"
Westmere,"Albany County, NY"
Westmore Estates,"Albany County, NY"
West Township,"Albany County, NY"
Whitney Estates,"Albany County, NY"
Wolf Hill,"Albany County, NY"
Ghent,"Columbia, NY"
Hobart,"Delaware, NY"
Hancock,"Delaware, NY"
Bains Corner,"Dutchess, NY"
Bangall,"Dutchess, NY"
Barnegat,"Dutchess, NY"
Barrytown,"Dutchess, NY"
Beacon,"Dutchess, NY"
Beacon Hill,"Dutchess, NY"
Beekman,"Dutchess, NY"
Beekman,"Dutchess, NY"
Bethel,"Dutchess, NY"
Billings,"Dutchess, NY"
Brinckerhoff,"Dutchess, NY"
Brockway,"Dutchess, NY"
Bulls Head,"Dutchess, NY"
Appalachian National Scenic Trail,"Dutchess, NY"
Amenia,"Dutchess, NY"
Amenia Union,"Dutchess, NY"
Annandale-on-Hudson,"Dutchess, NY"
Arlington,"Dutchess, NY"
Arthursburg,"Dutchess, NY"
Attlebury,"Dutchess, NY"
Camby,"Dutchess, NY"
Castle Point,"Dutchess, NY"
Chelsea,"Dutchess, NY"
Chestnut Ridge,"Dutchess, NY"
Clark Heights,"Dutchess, NY"
Clinton,"Dutchess, NY"
Clinton Corners,"Dutchess, NY"
Clinton Hollow,"Dutchess, NY"
Clove,"Dutchess, NY"
Clove Valley,"Dutchess, NY"
Cokertown,"Dutchess, NY"
Coleman Station,"Dutchess, NY"
College Park,"Dutchess, NY"
Colonial Heights,"Dutchess, NY"
Cottam Hill,"Dutchess, NY"
Crown Heights,"Dutchess, NY"
DeWitt Mills,"Dutchess, NY"
Diddell,"Dutchess, NY"
Dogtail Corners,"Dutchess, NY"
Dover,"Dutchess, NY"
Dover Furnace,"Dutchess, NY"
Dover Plains,"Dutchess, NY"
Dutchess Junction,"Dutchess, NY"
East Bend Park,"Dutchess, NY"
East Fishkill,"Dutchess, NY"
East Fishkill,"Dutchess, NY"
East Park,"Dutchess, NY"
Eighmyville,"Dutchess, NY"
Eleanor Roosevelt National Historic Site,"Dutchess, NY"
Fairview,"Dutchess, NY"
Fishkill,"Dutchess, NY"
Fishkill,"Dutchess, NY"
Fishkill Plains,"Dutchess, NY"
Fraleighs,"Dutchess, NY"
Freedom Plains,"Dutchess, NY"
Gayhead,"Dutchess, NY"
Glenham,"Dutchess, NY"
Green Haven,"Dutchess, NY"
Greer Childrens Home,"Dutchess, NY"
Gretna,"Dutchess, NY"
Groveville,"Dutchess, NY"
Hammertown,"Dutchess, NY"
Haviland,"Dutchess, NY"
Hibernia,"Dutchess, NY"
Hillis,"Dutchess, NY"
Hillis Terrace,"Dutchess, NY"
Hillside Lake,"Dutchess, NY"
Holmes,"Dutchess, NY"
Home of Franklin D Roosevelt National Historic Site,"Dutchess, NY"
Hope Farm,"Dutchess, NY"
Hopewell,"Dutchess, NY"
Hopewell Junction,"Dutchess, NY"
Hospital Station,"Dutchess, NY"
Hughsonville,"Dutchess, NY"
Hurd Corners,"Dutchess, NY"
Hyde Park,"Dutchess, NY"
Imperial Plaza,"Dutchess, NY"
Irondale,"Dutchess, NY"
Jackson Corners,"Dutchess, NY"
Kerleys Corners,"Dutchess, NY"
Knapps Corner,"Dutchess, NY"
Lafayetteville,"Dutchess, NY"
La Grange,"Dutchess, NY"
Lagrangeville,"Dutchess, NY"
Leedsville,"Dutchess, NY"
Linden Acres,"Dutchess, NY"
Lithgow,"Dutchess, NY"
Little Falls,"Dutchess, NY"
Littlerest,"Dutchess, NY"
Lomala,"Dutchess, NY"
Mabbettsville,"Dutchess, NY"
MacDonnell Heights,"Dutchess, NY"
McIntyre,"Dutchess, NY"
Manchester Bridge,"Dutchess, NY"
Market,"Dutchess, NY"
Matteawan,"Dutchess, NY"
Matteawan State Hospital,"Dutchess, NY"
Milan,"Dutchess, NY"
Milan,"Dutchess, NY"
Millbrook,"Dutchess, NY"
Millbrook Heights,"Dutchess, NY"
Millerton,"Dutchess, NY"
Moores Mill,"Dutchess, NY"
Mount Riga,"Dutchess, NY"
Mount Ross,"Dutchess, NY"
Myers Corner,"Dutchess, NY"
Netherwood,"Dutchess, NY"
New Hackensack,"Dutchess, NY"
New Hamburg,"Dutchess, NY"
Norrie Heights,"Dutchess, NY"
North Clove,"Dutchess, NY"
North East,"Dutchess, NY"
Northeast Center,"Dutchess, NY"
Noxon,"Dutchess, NY"
Oak Summit,"Dutchess, NY"
Oniad Lake,"Dutchess, NY"
Oniontown,"Dutchess, NY"
Pachin Mills,"Dutchess, NY"
Pawling,"Dutchess, NY"
Pawling,"Dutchess, NY"
Pecksville,"Dutchess, NY"
Pine Plains,"Dutchess, NY"
Pine Plains,"Dutchess, NY"
Pleasant Plains,"Dutchess, NY"
Pleasant Ridge,"Dutchess, NY"
Pleasant Valley (town),"Dutchess, NY"
Pleasant Valley (hamlet),"Dutchess, NY"
Poughkeepsie,"Dutchess, NY"
Poughkeepsie,"Dutchess, NY"
Poughquag,"Dutchess, NY"
Pulvers Corners,"Dutchess, NY"
Quaker Hill,"Dutchess, NY"
Red Hook,"Dutchess, NY"
Red Hook,"Dutchess, NY"
Red Hook Mills,"Dutchess, NY"
Red Oaks Mill,"Dutchess, NY"
Rhinebeck,"Dutchess, NY"
Rhinecliff,"Dutchess, NY"
Rochdale,"Dutchess, NY"
Rock City,"Dutchess, NY"
Rombout Ridge,"Dutchess, NY"
Rudco,"Dutchess, NY"
Salt Point,"Dutchess, NY"
Schultzville,"Dutchess, NY"
Sharon,"Dutchess, NY"
Sharon Station,"Dutchess, NY"
Shekomeko,"Dutchess, NY"
Shenandoah,"Dutchess, NY"
Shunpike,"Dutchess, NY"
Smithfield,"Dutchess, NY"
South Amenia,"Dutchess, NY"
South Dover,"Dutchess, NY"
South Millbrook,"Dutchess, NY"
South Road,"Dutchess, NY"
Spackenkill,"Dutchess, NY"
Spencer Corners,"Dutchess, NY"
Springwood Village,"Dutchess, NY"
Sproutville,"Dutchess, NY"
Staatsburg,"Dutchess, NY"
Stanford,"Dutchess, NY"
Stanfordville,"Dutchess, NY"
State Hospital,"Dutchess, NY"
State Line,"Dutchess, NY"
State School,"Dutchess, NY"
Stissing,"Dutchess, NY"
Stonehouse,"Dutchess, NY"
Stormville,"Dutchess, NY"
Swartoutville,"Dutchess, NY"
Swenson Drive,"Dutchess, NY"
Sylvan Lake,"Dutchess, NY"
Timothy Heights,"Dutchess, NY"
Titusville,"Dutchess, NY"
Tivoli,"Dutchess, NY"
Union Vale,"Dutchess, NY"
Upper Red Hook,"Dutchess, NY"
Upton Lake,"Dutchess, NY"
Vanderbilt Mansion National Historic Site,"Dutchess, NY"
Van Keurens,"Dutchess, NY"
Verbank,"Dutchess, NY"
Verbank Village,"Dutchess, NY"
Wappinger,"Dutchess, NY"
Wappinger Lake,"Dutchess, NY"
Wappingers Falls,"Dutchess, NY"
Wappingers Falls East,"Dutchess, NY"
Wappingers Falls North,"Dutchess, NY"
Washington,"Dutchess, NY"
Washington Hollow,"Dutchess, NY"
Wassaic,"Dutchess, NY"
Webatuck,"Dutchess, NY"
West Pawling,"Dutchess, NY"
Whaley Lake,"Dutchess, NY"
Wiccopee,"Dutchess, NY"
Wicopee,"Dutchess, NY"
Wiley Shelter,"Dutchess, NY"
Willow Brook,"Dutchess, NY"
Wingdale,"Dutchess, NY"
Woodinville,"Dutchess, NY"
Wurtemburg,"Dutchess, NY"
1946,"Dutchess, NY"
", MA",Massachusetts
Sandown,New Hampshire
Baileytown,"Orange, NY"
Baileyville,"Orange, NY"
Balmville,"Orange, NY"
Barleytown,"Orange, NY"
Beaverdam Lake,"Orange, NY"
Beaverdam Lake-Salisbury Mills,"Orange, NY"
Bellvale,"Orange, NY"
Berea,"Orange, NY"
Big Island,"Orange, NY"
Blooming Grove,"Orange, NY"
Blooming Grove,"Orange, NY"
Bull Mine,"Orange, NY"
Bullville,"Orange, NY"
Burnside,"Orange, NY"
Bushville,"Orange, NY"
Agway Station,"Orange, NY"
Allard Corners,"Orange, NY"
Amchir,"Orange, NY"
Amity,"Orange, NY"
Appalachian National Scenic Trail,"Orange, NY"
Arcadia Hills,"Orange, NY"
Arden,"Orange, NY"
Arden House,"Orange, NY"
Cahoonzie,"Orange, NY"
Campbell Hall,"Orange, NY"
Campbell Hall Junction,"Orange, NY"
Capitol Hills,"Orange, NY"
Cedar Cliff,"Orange, NY"
Central Valley,"Orange, NY"
Circleville,"Orange, NY"
Coldenham,"Orange, NY"
Colden Hill,"Orange, NY"
Collabar,"Orange, NY"
Cornwall,"Orange, NY"
Cornwall,"Orange, NY"
Cornwall Landing,"Orange, NY"
Cornwall-on-Hudson,"Orange, NY"
Craigville,"Orange, NY"
Crawford,"Orange, NY"
Cronomer Valley,"Orange, NY"
Crystal Run,"Orange, NY"
Cuddebackville,"Orange, NY"
Deerpark,"Orange, NY"
Delaware National Scenic River,"Orange, NY"
Denniston,"Orange, NY"
Denton,"Orange, NY"
Durland,"Orange, NY"
Durlandville,"Orange, NY"
Dutch Hollow,"Orange, NY"
Eagle Valley,"Orange, NY"
East Chester,"Orange, NY"
East Coldenham,"Orange, NY"
East Middletown,"Orange, NY"
East Walden,"Orange, NY"
Eden,"Orange, NY"
Edenville,"Orange, NY"
Fair Oaks,"Orange, NY"
Farmingdale,"Orange, NY"
Finchville,"Orange, NY"
Finnegans Corners,"Orange, NY"
Firthcliffe,"Orange, NY"
Firthcliffe Heights,"Orange, NY"
Florida,"Orange, NY"
Fort Montgomery,"Orange, NY"
Fort Putnam,"Orange, NY"
Fostertown,"Orange, NY"
Furnace Brook,"Orange, NY"
Gardnertown,"Orange, NY"
Gardnertown,"Orange, NY"
Gardnerville,"Orange, NY"
Germantown,"Orange, NY"
Girarde,"Orange, NY"
Glenwood Park,"Orange, NY"
Godeffroy,"Orange, NY"
Goshen (town),"Orange, NY"
Goshen (town),"Orange, NY"
Goshen (village),"Orange, NY"
Goshen (village),"Orange, NY"
Goshen Hills,"Orange, NY"
Greenville,"Orange, NY"
Greenwood Lake,"Orange, NY"
Greycourt,"Orange, NY"
Guymard,"Orange, NY"
Hamptonburgh,"Orange, NY"
Hamptonburgh,"Orange, NY"
Harriman,"Orange, NY"
Harriman South,"Orange, NY"
Highland Falls,"Orange, NY"
Highland Mills,"Orange, NY"
Highlands,"Orange, NY"
Hill,"Orange, NY"
Howells,"Orange, NY"
Howells Junction,"Orange, NY"
Huguenot,"Orange, NY"
Indian Hill,"Orange, NY"
Indian Park,"Orange, NY"
Johnson,"Orange, NY"
Kaisertown,"Orange, NY"
Kipps,"Orange, NY"
Kiryas Joel,"Orange, NY"
Lagrange,"Orange, NY"
Lake,"Orange, NY"
Lake Osiris Colony,"Orange, NY"
Lakeside,"Orange, NY"
Lake Station,"Orange, NY"
Lebanon,"Orange, NY"
Leptondale,"Orange, NY"
Little Britain,"Orange, NY"
Little York,"Orange, NY"
Logtown,"Orange, NY"
Marycrest,"Orange, NY"
Maybrook,"Orange, NY"
Meadowbrook,"Orange, NY"
Mechanicstown,"Orange, NY"
Merriewold Lake,"Orange, NY"
Michigan Corners,"Orange, NY"
Middle Hope,"Orange, NY"
Middlehope,"Orange, NY"
Middletown,"Orange, NY"
Middletown and Unionville Junction,"Orange, NY"
Middletown State Hospital,"Orange, NY"
Milburn,"Orange, NY"
Millsburg,"Orange, NY"
Minisink,"Orange, NY"
Monroe,"Orange, NY"
Monroe,"Orange, NY"
Monroe Southwest,"Orange, NY"
Montgomery,"Orange, NY"
Montgomery,"Orange, NY"
Morrison Heights,"Orange, NY"
Mountain House,"Orange, NY"
Mountain Lodge,"Orange, NY"
Mountainville,"Orange, NY"
Mount Eve,"Orange, NY"
Mount Hope,"Orange, NY"
Mount Hope,"Orange, NY"
Myers Grove,"Orange, NY"
Neelytown,"Orange, NY"
Newburgh,"Orange, NY"
Newburgh Junction,"Orange, NY"
Newburgh West,"Orange, NY"
New Hampton,"Orange, NY"
New Hampton-Denton,"Orange, NY"
New Milford,"Orange, NY"
Newport,"Orange, NY"
New Vernon,"Orange, NY"
New Windsor,"Orange, NY"
New Windsor Center,"Orange, NY"
North Dock,"Orange, NY"
North End,"Orange, NY"
Onleys Station,"Orange, NY"
Orange Lake,"Orange, NY"
Orrs Mill,"Orange, NY"
Otisville,"Orange, NY"
Otter Kill,"Orange, NY"
Oxford,"Orange, NY"
Oxford Depot,"Orange, NY"
Paradise,"Orange, NY"
Pellets Island,"Orange, NY"
Phillipsburg,"Orange, NY"
Pilgrim Corners,"Orange, NY"
Pine Bush,"Orange, NY"
Pine Island,"Orange, NY"
Port Jervis,"Orange, NY"
Port Orange,"Orange, NY"
Prospect Hill,"Orange, NY"
Randelville,"Orange, NY"
Ridgebury,"Orange, NY"
Rio,"Orange, NY"
Rock Tavern,"Orange, NY"
Rockville,"Orange, NY"
Rocky Hill,"Orange, NY"
Roses Point,"Orange, NY"
Roseton,"Orange, NY"
Rossville,"Orange, NY"
St. Andrew,"Orange, NY"
Salisbury Mills,"Orange, NY"
Savilton,"Orange, NY"
Scotchtown,"Orange, NY"
Scotts Corner,"Orange, NY"
Searsville,"Orange, NY"
Shin Hollow,"Orange, NY"
Silver Lake,"Orange, NY"
Silver Lake Village,"Orange, NY"
Slate Hill,"Orange, NY"
Smiths Clove,"Orange, NY"
Snufftown,"Orange, NY"
South Centerville,"Orange, NY"
Southfields,"Orange, NY"
Sparrow Bush,"Orange, NY"
Sterling Forest,"Orange, NY"
Stewart,"Orange, NY"
Stewart AFB,"Orange, NY"
Stone Gate,"Orange, NY"
Stony Ford,"Orange, NY"
Sugar Loaf,"Orange, NY"
Surrey Meadows,"Orange, NY"
Thompson Ridge,"Orange, NY"
Town,"Orange, NY"
Tristates,"Orange, NY"
Tuxedo,"Orange, NY"
Tuxedo,"Orange, NY"
Tuxedo Park,"Orange, NY"
Unionville,"Orange, NY"
United States Military Academy,"Orange, NY"
Upper Delaware Scenic & Recreational River,"Orange, NY"
U S C C,"Orange, NY"
Vails Gate,"Orange, NY"
Vails Gate Junction,"Orange, NY"
Van Burenville,"Orange, NY"
Van Keuren,"Orange, NY"
Walden,"Orange, NY"
Wallkill,"Orange, NY"
Walton Lake,"Orange, NY"
Walton Park,"Orange, NY"
Warwick,"Orange, NY"
Warwick,"Orange, NY"
Warwick State Training School for Boys,"Orange, NY"
Washington Heights,"Orange, NY"
Washington Lake,"Orange, NY"
Washingtonville,"Orange, NY"
Waterloo Mills,"Orange, NY"
Wawayanda,"Orange, NY"
West Cornwall,"Orange, NY"
West Newburgh,"Orange, NY"
West Point,"Orange, NY"
West Point Military Reservation,"Orange, NY"
Westtown,"Orange, NY"
Wickham Knolls,"Orange, NY"
Wickham Village,"Orange, NY"
Wilcox,"Orange, NY"
Winona Lake,"Orange, NY"
Wisner,"Orange, NY"
Woodbury,"Orange, NY"
Woodbury,"Orange, NY"
Woodbury Falls,"Orange, NY"
Worley Heights,"Orange, NY"
 Chester,"Orange, NY"
Lansdale,Pennsylvania
MiniVan - Eas,Pennsylvania
", PA",Pennsylvania
Barnum Corners,"Putnam, NY"
Berkshire Terrace,"Putnam, NY"
Brewster,"Putnam, NY"
Brewster Heights,"Putnam, NY"
Brewster Hill,"Putnam, NY"
Bullet Hole,"Putnam, NY"
Baldwin Place,"Putnam, NY"
Adams Corners,"Putnam, NY"
Akins Corners,"Putnam, NY"
Allen Corners,"Putnam, NY"
Carmel,"Putnam, NY"
Carmel,"Putnam, NY"
Carmel Hamlet,"Putnam, NY"
Carmel Hills,"Putnam, NY"
Carmel Park Estates,"Putnam, NY"
Cold Spring,"Putnam, NY"
Continental Village,"Putnam, NY"
